mqc_id	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
I30x_HG001_grapev1_0-sent-deep19-SNPts	SNPts	I30x_HG001_grapev1_0	377862616.0	377595201.0	1357.0	266058.0	35752.0	0.9348078527822916	0.9949254903427257	0.999905325557357	0.11845863291474769	0.8815413670852523	0.8815413670852523	HG001	clinvar_genes	-1	-2	sent	deep19
I30x_HG001_grapev1_0-sent-deep19-SNPtv	SNPtv	I30x_HG001_grapev1_0	377862616.0	377741409.0	692.0	120515.0	21507.0	0.9156665868882228	0.9942907587845586	0.9999430674661565	0.15143428482911098	0.848565715170889	0.848565715170889	HG001	clinvar_genes	-1	-2	sent	deep19
I30x_HG001_grapev1_0-sent-deep19-INS_50	INS_50	I30x_HG001_grapev1_0	377862616.0	377835222.0	401.0	26993.0	18437.0	0.7413215423486762	0.9853617580492079	0.9999512059773384	0.4058331499009465	0.5941668500990536	0.5941668500990535	HG001	clinvar_genes	-1	-2	sent	deep19
I30x_HG001_grapev1_0-sent-deep19-INS_gt50	INS_gt50	I30x_HG001_grapev1_0	377862616.0	377862612.0	4.0	0.0	94.0		0.0	0.999999751232396	1.0	0.0	0.0	HG001	clinvar_genes	-1	-2	sent	deep19
I30x_HG001_grapev1_0-sent-deep19-DEL_50	DEL_50	I30x_HG001_grapev1_0	377862616.0	377833646.0	218.0	28752.0	17803.0	0.7613902681231381	0.9924749741111495	0.9999528836000309	0.38240790462893354	0.6175920953710665	0.6175920953710665	HG001	clinvar_genes	-1	-2	sent	deep19
I30x_HG001_grapev1_0-sent-deep19-DEL_gt50	DEL_gt50	I30x_HG001_grapev1_0	377862616.0	377862606.0	10.0	0.0	55.0		0.0	0.9999998544444697	1.0	0.0	0.0	HG001	clinvar_genes	-1	-2	sent	deep19
I30x_HG001_grapev1_0-sent-deep19-Indel_50	Indel_50	I30x_HG001_grapev1_0	377862616.0	377858820.0	38.0	3758.0	4654.0	0.6156618610747051	0.9899894625922023	0.9999876833821731	0.5532572515454113	0.4467427484545887	0.44674274845458867	HG001	clinvar_genes	-1	-2	sent	deep19
I30x_HG001_grapev1_0-sent-deep19-Indel_gt50	Indel_gt50	I30x_HG001_grapev1_0	377862616.0	377862466.0	10.0	140.0	178.0	0.5982905982905983	0.9333333333333333	0.9999995289293535	0.559748427672956	0.44025157232704404	0.44025157232704404	HG001	clinvar_genes	-1	-2	sent	deep19
I30x_HG001_grapev1_0-sent-deep19-All	All	I30x_HG001_grapev1_0	377862616.0	377413670.0	2730.0	446216.0	98480.0	0.8981423893112408	0.9939190904919523	0.9997391342238918	0.18079809655293963	0.8192019034470603	0.8192019034470603	HG001	clinvar_genes	-1	-2	sent	deep19
I30x_HG001_grapev1_0-sent-deep19-SNPts	SNPts	I30x_HG001_grapev1_0	2490378273.0	2488212978.0	2671.0	2162624.0	1292.0	0.9990845907025553	0.9987664498370892	0.9999994807521139	0.0005970656901654223	0.9994029343098346	0.9994029343098346	HG001	giabHC_x_ultima	-1	-2	sent	deep19
I30x_HG001_grapev1_0-sent-deep19-SNPtv	SNPtv	I30x_HG001_grapev1_0	2490378273.0	2489363217.0	1456.0	1013600.0	983.0	0.9987983084676635	0.9985655963808894	0.9999996051200544	0.0009688709548652007	0.9990311290451348	0.9990311290451348	HG001	giabHC_x_ultima	-1	-2	sent	deep19
